,Channel,Activity,No,Sex,Rep
530,adj_Monitor2_ch22,450.3333333333333,53328,M,1
68,adj_Monitor16_ch11,449.5,67422,F,1
866,adj_Monitor5_ch5,449.0,80387,F,1
828,adj_Monitor5_ch16,448.6666666666667,80387,F,1
840,adj_Monitor5_ch21,448.5,80387,F,1
1260,adj_Monitor75_ch11,448.3333333333333,55690,M,1
1338,adj_Monitor77_ch20,448.1666666666667,64498,F,1
550,adj_Monitor2_ch32,447.3333333333333,53328,M,1
758,adj_Monitor59_ch11,447.1666666666667,55690,F,1
1364,adj_Monitor77_ch32,446.3333333333333,64498,F,1
784,adj_Monitor59_ch25,445.8333333333333,55690,F,1
856,adj_Monitor5_ch3,444.8333333333333,80387,F,1
72,adj_Monitor16_ch13,444.0,67422,F,1
1498,adj_Monitor8_ch6,443.8333333333333,56014,M,1
1236,adj_Monitor73_ch3,443.6666666666667,57380,F,1
940,adj_Monitor63_ch10,443.5,56014,F,1
684,adj_Monitor56_ch6,443.3333333333333,62872,M,1
1390,adj_Monitor7_ch15,442.8333333333333,TRiPsc,F,1
1154,adj_Monitor72_ch21,442.8333333333333,66945,F,1
658,adj_Monitor56_ch23,441.3333333333333,62872,M,1
704,adj_Monitor58_ch15,441.1666666666667,62872,F,1
1064,adj_Monitor67_ch9,440.5,57713,F,1
1448,adj_Monitor8_ch12,440.5,56014,M,1
180,adj_Monitor17_ch5,439.0,82983,M,1
526,adj_Monitor2_ch20,438.5,53328,M,1
1084,adj_Monitor6_ch18,438.3333333333333,53328,F,1
1304,adj_Monitor75_ch5,438.3333333333333,55690,M,1
216,adj_Monitor18_ch21,437.3333333333333,80387,M,1
514,adj_Monitor2_ch15,436.6666666666667,53328,M,1
1442,adj_Monitor8_ch1,436.3333333333333,56014,M,1
880,adj_Monitor60_ch11,434.5,66945,M,1
136,adj_Monitor17_ch13,432.3333333333333,82983,M,1
596,adj_Monitor54_ch24,432.0,82983,F,1
372,adj_Monitor20_ch8,431.3333333333333,57713,M,1
1492,adj_Monitor8_ch32,431.1666666666667,56014,M,1
732,adj_Monitor58_ch28,431.1666666666667,62872,F,1
512,adj_Monitor2_ch14,431.0,53328,M,1
648,adj_Monitor56_ch19,429.8333333333333,62872,M,1
178,adj_Monitor17_ch4,428.8333333333333,82983,M,1
1022,adj_Monitor67_ch19,428.6666666666667,57713,F,1
592,adj_Monitor54_ch22,427.1666666666667,82983,F,1
586,adj_Monitor54_ch2,426.6666666666667,82983,F,1
1070,adj_Monitor6_ch11,426.1666666666667,53328,F,1
240,adj_Monitor18_ch4,425.5,80387,M,1
16,adj_Monitor15_ch17,424.3333333333333,57380,M,1
712,adj_Monitor58_ch19,424.0,62872,F,1
532,adj_Monitor2_ch23,423.1666666666667,53328,M,1
326,adj_Monitor20_ch15,423.0,57713,M,1
1274,adj_Monitor75_ch19,422.1666666666667,55690,M,1
1462,adj_Monitor8_ch19,422.1666666666667,56014,M,1
1254,adj_Monitor73_ch9,420.5,57380,F,1
1176,adj_Monitor72_ch31,420.1666666666667,66945,F,1
622,adj_Monitor54_ch7,420.0,82983,F,1
562,adj_Monitor2_ch9,419.5,53328,M,1
1480,adj_Monitor8_ch27,418.6666666666667,56014,M,1
1000,adj_Monitor63_ch9,418.1666666666667,56014,F,1
508,adj_Monitor2_ch12,417.6666666666667,53328,M,1
1152,adj_Monitor72_ch20,416.1666666666667,66945,F,1
624,adj_Monitor54_ch8,415.3333333333333,82983,F,1
1214,adj_Monitor73_ch2,414.6666666666667,57380,F,1
810,adj_Monitor59_ch8,414.5,55690,F,1
506,adj_Monitor2_ch11,413.1666666666667,53328,M,1
820,adj_Monitor5_ch12,412.5,80387,F,1
970,adj_Monitor63_ch24,412.1666666666667,56014,F,1
498,adj_Monitor24_ch8,411.8333333333333,TRiPsc,M,1
292,adj_Monitor1_ch29,411.0,67422,M,1
456,adj_Monitor24_ch17,411.0,TRiPsc,M,1
1106,adj_Monitor6_ch29,410.3333333333333,53328,F,1
1422,adj_Monitor7_ch3,410.1666666666667,TRiPsc,F,1
786,adj_Monitor59_ch26,409.8333333333333,55690,F,1
248,adj_Monitor18_ch8,409.0,80387,M,1
1416,adj_Monitor7_ch27,408.5,TRiPsc,F,1
1192,adj_Monitor73_ch1,408.3333333333333,57380,F,1
600,adj_Monitor54_ch26,406.6666666666667,82983,F,1
1500,adj_Monitor8_ch7,405.3333333333333,56014,M,1
110,adj_Monitor16_ch30,405.0,67422,F,1
78,adj_Monitor16_ch16,404.3333333333333,67422,F,1
670,adj_Monitor56_ch29,404.1666666666667,62872,M,1
890,adj_Monitor60_ch16,404.1666666666667,66945,M,1
1440,adj_Monitor7_ch9,403.8333333333333,TRiPsc,F,1
634,adj_Monitor56_ch12,403.3333333333333,62872,M,1
806,adj_Monitor59_ch6,401.3333333333333,55690,F,1
604,adj_Monitor54_ch28,400.5,82983,F,1
992,adj_Monitor63_ch5,399.8333333333333,56014,F,1
768,adj_Monitor59_ch18,398.0,55690,F,1
1474,adj_Monitor8_ch24,397.5,56014,M,1
250,adj_Monitor18_ch9,397.3333333333333,80387,M,1
618,adj_Monitor54_ch5,396.8333333333333,82983,F,1
576,adj_Monitor54_ch15,396.6666666666667,82983,F,1
1418,adj_Monitor7_ch28,394.3333333333333,TRiPsc,F,1
44,adj_Monitor15_ch3,394.3333333333333,57380,M,1
594,adj_Monitor54_ch23,394.1666666666667,82983,F,1
34,adj_Monitor15_ch25,394.1666666666667,57380,M,1
1102,adj_Monitor6_ch27,393.6666666666667,53328,F,1
834,adj_Monitor5_ch19,393.5,80387,F,1
1190,adj_Monitor72_ch9,393.5,66945,F,1
850,adj_Monitor5_ch26,393.3333333333333,80387,F,1
504,adj_Monitor2_ch10,393.0,53328,M,1
126,adj_Monitor16_ch9,392.8333333333333,67422,F,1
1484,adj_Monitor8_ch29,392.5,56014,M,1
536,adj_Monitor2_ch26,391.6666666666667,53328,M,1
320,adj_Monitor20_ch12,391.3333333333333,57713,M,1
332,adj_Monitor20_ch18,389.5,57713,M,1
720,adj_Monitor58_ch22,388.5,62872,F,1
486,adj_Monitor24_ch31,388.1666666666667,TRiPsc,M,1
1246,adj_Monitor73_ch5,387.5,57380,F,1
944,adj_Monitor63_ch12,386.8333333333333,56014,F,1
290,adj_Monitor1_ch28,386.1666666666667,67422,M,1
1278,adj_Monitor75_ch20,386.1666666666667,55690,M,1
1250,adj_Monitor73_ch7,384.0,57380,F,1
946,adj_Monitor63_ch13,383.5,56014,F,1
556,adj_Monitor2_ch6,383.1666666666667,53328,M,1
210,adj_Monitor18_ch19,382.3333333333333,80387,M,1
568,adj_Monitor54_ch11,382.3333333333333,82983,F,1
20,adj_Monitor15_ch19,381.5,57380,M,1
826,adj_Monitor5_ch15,381.5,80387,F,1
1098,adj_Monitor6_ch25,381.1666666666667,53328,F,1
1076,adj_Monitor6_ch14,380.5,53328,F,1
1234,adj_Monitor73_ch29,380.3333333333333,57380,F,1
40,adj_Monitor15_ch28,379.8333333333333,57380,M,1
844,adj_Monitor5_ch23,377.3333333333333,80387,F,1
176,adj_Monitor17_ch32,376.6666666666667,82983,M,1
342,adj_Monitor20_ch22,376.3333333333333,57713,M,1
962,adj_Monitor63_ch20,376.0,56014,F,1
906,adj_Monitor60_ch23,376.0,66945,M,1
308,adj_Monitor1_ch7,375.5,67422,M,1
312,adj_Monitor1_ch9,374.6666666666667,67422,M,1
892,adj_Monitor60_ch17,374.5,66945,M,1
802,adj_Monitor59_ch4,373.5,55690,F,1
1356,adj_Monitor77_ch29,373.0,64498,F,1
286,adj_Monitor1_ch26,371.6666666666667,67422,M,1
328,adj_Monitor20_ch16,371.5,57713,M,1
1446,adj_Monitor8_ch11,370.6666666666667,56014,M,1
910,adj_Monitor60_ch26,370.5,66945,M,1
1272,adj_Monitor75_ch18,370.5,55690,M,1
406,adj_Monitor22_ch23,370.1666666666667,64498,M,1
1476,adj_Monitor8_ch25,368.3333333333333,56014,M,1
1074,adj_Monitor6_ch13,366.1666666666667,53328,F,1
612,adj_Monitor54_ch31,366.0,82983,F,1
744,adj_Monitor58_ch5,364.6666666666667,62872,F,1
934,adj_Monitor60_ch8,364.6666666666667,66945,M,1
254,adj_Monitor1_ch11,364.5,67422,M,1
4,adj_Monitor15_ch11,364.1666666666667,57380,M,1
242,adj_Monitor18_ch5,363.5,80387,M,1
1184,adj_Monitor72_ch6,363.3333333333333,66945,F,1
1148,adj_Monitor72_ch19,363.0,66945,F,1
480,adj_Monitor24_ch29,362.8333333333333,TRiPsc,M,1
1348,adj_Monitor77_ch25,362.6666666666667,64498,F,1
860,adj_Monitor5_ch31,362.6666666666667,80387,F,1
740,adj_Monitor58_ch31,361.5,62872,F,1
1088,adj_Monitor6_ch20,361.1666666666667,53328,F,1
1434,adj_Monitor7_ch6,360.8333333333333,TRiPsc,F,1
830,adj_Monitor5_ch17,360.6666666666667,80387,F,1
980,adj_Monitor63_ch29,359.1666666666667,56014,F,1
928,adj_Monitor60_ch5,357.8333333333333,66945,M,1
588,adj_Monitor54_ch20,357.8333333333333,82983,F,1
1046,adj_Monitor67_ch3,357.8333333333333,57713,F,1
1398,adj_Monitor7_ch19,357.6666666666667,TRiPsc,F,1
986,adj_Monitor63_ch31,357.6666666666667,56014,F,1
462,adj_Monitor24_ch20,357.1666666666667,TRiPsc,M,1
884,adj_Monitor60_ch13,356.8333333333333,66945,M,1
1426,adj_Monitor7_ch31,355.0,TRiPsc,F,1
1284,adj_Monitor75_ch24,353.5,55690,M,1
476,adj_Monitor24_ch27,353.1666666666667,TRiPsc,M,1
450,adj_Monitor24_ch14,352.8333333333333,TRiPsc,M,1
1392,adj_Monitor7_ch16,352.6666666666667,TRiPsc,F,1
738,adj_Monitor58_ch30,352.0,62872,F,1
544,adj_Monitor2_ch3,350.3333333333333,53328,M,1
162,adj_Monitor17_ch26,350.1666666666667,82983,M,1
38,adj_Monitor15_ch27,350.0,57380,M,1
244,adj_Monitor18_ch6,349.6666666666667,80387,M,1
932,adj_Monitor60_ch7,348.6666666666667,66945,M,1
832,adj_Monitor5_ch18,348.5,80387,F,1
186,adj_Monitor17_ch8,348.3333333333333,82983,M,1
446,adj_Monitor24_ch12,347.1666666666667,TRiPsc,M,1
1224,adj_Monitor73_ch24,345.5,57380,F,1
778,adj_Monitor59_ch22,344.5,55690,F,1
1464,adj_Monitor8_ch2,344.3333333333333,56014,M,1
344,adj_Monitor20_ch23,343.8333333333333,57713,M,1
490,adj_Monitor24_ch4,343.3333333333333,TRiPsc,M,1
1200,adj_Monitor73_ch13,341.3333333333333,57380,F,1
204,adj_Monitor18_ch16,340.8333333333333,80387,M,1
864,adj_Monitor5_ch4,340.6666666666667,80387,F,1
1030,adj_Monitor67_ch22,340.3333333333333,57713,F,1
1118,adj_Monitor6_ch5,339.6666666666667,53328,F,1
560,adj_Monitor2_ch8,338.3333333333333,53328,M,1
324,adj_Monitor20_ch14,337.3333333333333,57713,M,1
540,adj_Monitor2_ch28,337.3333333333333,53328,M,1
1202,adj_Monitor73_ch14,336.3333333333333,57380,F,1
208,adj_Monitor18_ch18,334.8333333333333,80387,M,1
206,adj_Monitor18_ch17,334.1666666666667,80387,M,1
1312,adj_Monitor75_ch9,334.0,55690,M,1
300,adj_Monitor1_ch32,333.6666666666667,67422,M,1
794,adj_Monitor59_ch3,333.5,55690,F,1
518,adj_Monitor2_ch17,333.0,53328,M,1
898,adj_Monitor60_ch2,331.8333333333333,66945,M,1
1490,adj_Monitor8_ch31,330.8333333333333,56014,M,1
966,adj_Monitor63_ch22,330.0,56014,F,1
912,adj_Monitor60_ch27,329.5,66945,M,1
1104,adj_Monitor6_ch28,325.5,53328,F,1
294,adj_Monitor1_ch3,325.3333333333333,67422,M,1
990,adj_Monitor63_ch4,324.5,56014,F,1
468,adj_Monitor24_ch23,324.1666666666667,TRiPsc,M,1
1488,adj_Monitor8_ch30,323.8333333333333,56014,M,1
368,adj_Monitor20_ch6,322.5,57713,M,1
132,adj_Monitor17_ch11,322.3333333333333,82983,M,1
124,adj_Monitor16_ch8,322.1666666666667,67422,F,1
18,adj_Monitor15_ch18,321.6666666666667,57380,M,1
1452,adj_Monitor8_ch14,321.3333333333333,56014,M,1
230,adj_Monitor18_ch29,321.0,80387,M,1
676,adj_Monitor56_ch31,320.1666666666667,62872,M,1
492,adj_Monitor24_ch5,320.0,TRiPsc,M,1
1340,adj_Monitor77_ch21,316.5,64498,F,1
10,adj_Monitor15_ch14,316.3333333333333,57380,M,1
776,adj_Monitor59_ch21,313.1666666666667,55690,F,1
584,adj_Monitor54_ch19,313.0,82983,F,1
192,adj_Monitor18_ch10,313.0,80387,M,1
222,adj_Monitor18_ch24,312.0,80387,M,1
808,adj_Monitor59_ch7,311.6666666666667,55690,F,1
440,adj_Monitor24_ch1,311.6666666666667,TRiPsc,M,1
444,adj_Monitor24_ch11,311.3333333333333,TRiPsc,M,1
520,adj_Monitor2_ch18,310.0,53328,M,1
976,adj_Monitor63_ch27,310.0,56014,F,1
1252,adj_Monitor73_ch8,309.8333333333333,57380,F,1
982,adj_Monitor63_ch3,308.6666666666667,56014,F,1
798,adj_Monitor59_ch31,307.8333333333333,55690,F,1
32,adj_Monitor15_ch24,307.1666666666667,57380,M,1
318,adj_Monitor20_ch11,307.0,57713,M,1
392,adj_Monitor22_ch17,306.8333333333333,64498,M,1
770,adj_Monitor59_ch19,306.6666666666667,55690,F,1
1294,adj_Monitor75_ch29,304.8333333333333,55690,M,1
170,adj_Monitor17_ch3,304.6666666666667,82983,M,1
478,adj_Monitor24_ch28,301.8333333333333,TRiPsc,M,1
1108,adj_Monitor6_ch3,301.1666666666667,53328,F,1
1454,adj_Monitor8_ch15,301.0,56014,M,1
1466,adj_Monitor8_ch20,300.5,56014,M,1
942,adj_Monitor63_ch11,298.0,56014,F,1
1468,adj_Monitor8_ch21,296.8333333333333,56014,M,1
904,adj_Monitor60_ch22,295.1666666666667,66945,M,1
1268,adj_Monitor75_ch16,294.0,55690,M,1
538,adj_Monitor2_ch27,293.5,53328,M,1
914,adj_Monitor60_ch28,293.0,66945,M,1
350,adj_Monitor20_ch26,292.0,57713,M,1
238,adj_Monitor18_ch32,291.6666666666667,80387,M,1
428,adj_Monitor22_ch4,291.1666666666667,64498,M,1
466,adj_Monitor24_ch22,290.5,TRiPsc,M,1
548,adj_Monitor2_ch31,290.0,53328,M,1
246,adj_Monitor18_ch7,288.6666666666667,80387,M,1
168,adj_Monitor17_ch29,288.6666666666667,82983,M,1
1194,adj_Monitor73_ch10,287.3333333333333,57380,F,1
564,adj_Monitor54_ch1,287.3333333333333,82983,F,1
484,adj_Monitor24_ch30,286.3333333333333,TRiPsc,M,1
816,adj_Monitor5_ch10,286.0,80387,F,1
1144,adj_Monitor72_ch17,285.6666666666667,66945,F,1
754,adj_Monitor59_ch1,285.3333333333333,55690,F,1
1242,adj_Monitor73_ch32,285.1666666666667,57380,F,1
1438,adj_Monitor7_ch8,283.1666666666667,TRiPsc,F,1
1228,adj_Monitor73_ch26,283.0,57380,F,1
552,adj_Monitor2_ch4,280.6666666666667,53328,M,1
1166,adj_Monitor72_ch27,280.3333333333333,66945,F,1
1270,adj_Monitor75_ch17,278.8333333333333,55690,M,1
84,adj_Monitor16_ch19,278.6666666666667,67422,F,1
62,adj_Monitor15_ch9,278.5,57380,M,1
358,adj_Monitor20_ch30,278.1666666666667,57713,M,1
1078,adj_Monitor6_ch15,277.6666666666667,53328,F,1
1302,adj_Monitor75_ch4,277.6666666666667,55690,M,1
1276,adj_Monitor75_ch2,275.3333333333333,55690,M,1
1300,adj_Monitor75_ch32,275.1666666666667,55690,M,1
280,adj_Monitor1_ch23,274.8333333333333,67422,M,1
782,adj_Monitor59_ch24,274.3333333333333,55690,F,1
42,adj_Monitor15_ch29,273.1666666666667,57380,M,1
200,adj_Monitor18_ch14,272.3333333333333,80387,M,1
482,adj_Monitor24_ch3,270.1666666666667,TRiPsc,M,1
790,adj_Monitor59_ch28,269.8333333333333,55690,F,1
1050,adj_Monitor67_ch31,269.1666666666667,57713,F,1
362,adj_Monitor20_ch32,267.5,57713,M,1
46,adj_Monitor15_ch30,266.8333333333333,57380,M,1
780,adj_Monitor59_ch23,265.5,55690,F,1
272,adj_Monitor1_ch2,265.3333333333333,67422,M,1
1266,adj_Monitor75_ch15,265.1666666666667,55690,M,1
1264,adj_Monitor75_ch14,265.0,55690,M,1
1232,adj_Monitor73_ch28,264.6666666666667,57380,F,1
1168,adj_Monitor72_ch28,263.5,66945,F,1
1090,adj_Monitor6_ch21,261.6666666666667,53328,F,1
1406,adj_Monitor7_ch22,261.0,TRiPsc,F,1
152,adj_Monitor17_ch21,260.8333333333333,82983,M,1
818,adj_Monitor5_ch11,260.6666666666667,80387,F,1
54,adj_Monitor15_ch5,260.5,57380,M,1
66,adj_Monitor16_ch10,259.6666666666667,67422,F,1
646,adj_Monitor56_ch18,259.1666666666667,62872,M,1
488,adj_Monitor24_ch32,257.1666666666667,TRiPsc,M,1
1216,adj_Monitor73_ch20,257.1666666666667,57380,F,1
1180,adj_Monitor72_ch4,252.0,66945,F,1
1320,adj_Monitor77_ch12,251.0,64498,F,1
1142,adj_Monitor72_ch16,250.66666666666666,66945,F,1
156,adj_Monitor17_ch23,250.5,82983,M,1
400,adj_Monitor22_ch20,250.33333333333334,64498,M,1
1292,adj_Monitor75_ch28,249.66666666666666,55690,M,1
188,adj_Monitor17_ch9,248.0,82983,M,1
452,adj_Monitor24_ch15,245.83333333333334,TRiPsc,M,1
996,adj_Monitor63_ch7,245.5,56014,F,1
792,adj_Monitor59_ch29,238.66666666666666,55690,F,1
60,adj_Monitor15_ch8,237.33333333333334,57380,M,1
1382,adj_Monitor7_ch11,237.0,TRiPsc,F,1
258,adj_Monitor1_ch13,236.66666666666666,67422,M,1
796,adj_Monitor59_ch30,236.5,55690,F,1
276,adj_Monitor1_ch21,236.16666666666666,67422,M,1
474,adj_Monitor24_ch26,235.83333333333334,TRiPsc,M,1
166,adj_Monitor17_ch28,235.33333333333334,82983,M,1
182,adj_Monitor17_ch6,229.66666666666666,82983,M,1
496,adj_Monitor24_ch7,229.33333333333334,TRiPsc,M,1
1008,adj_Monitor67_ch12,229.33333333333334,57713,F,1
918,adj_Monitor60_ch3,227.5,66945,M,1
764,adj_Monitor59_ch14,222.33333333333334,55690,F,1
226,adj_Monitor18_ch27,222.16666666666666,80387,M,1
252,adj_Monitor1_ch1,220.16666666666666,67422,M,1
348,adj_Monitor20_ch25,219.33333333333334,57713,M,1
874,adj_Monitor5_ch9,215.0,80387,F,1
1158,adj_Monitor72_ch23,214.83333333333334,66945,F,1
48,adj_Monitor15_ch31,212.66666666666666,57380,M,1
554,adj_Monitor2_ch5,212.5,53328,M,1
908,adj_Monitor60_ch25,211.66666666666666,66945,M,1
296,adj_Monitor1_ch30,210.5,67422,M,1
334,adj_Monitor20_ch19,209.0,57713,M,1
1262,adj_Monitor75_ch12,207.5,55690,M,1
224,adj_Monitor18_ch26,207.0,80387,M,1
1256,adj_Monitor75_ch1,206.83333333333334,55690,M,1
822,adj_Monitor5_ch13,206.16666666666666,80387,F,1
306,adj_Monitor1_ch6,202.0,67422,M,1
458,adj_Monitor24_ch18,201.83333333333334,TRiPsc,M,1
140,adj_Monitor17_ch15,201.33333333333334,82983,M,1
270,adj_Monitor1_ch19,197.83333333333334,67422,M,1
282,adj_Monitor1_ch24,197.33333333333334,67422,M,1
878,adj_Monitor60_ch10,197.16666666666666,66945,M,1
900,adj_Monitor60_ch20,195.0,66945,M,1
1282,adj_Monitor75_ch22,194.0,55690,M,1
1244,adj_Monitor73_ch4,188.5,57380,F,1
772,adj_Monitor59_ch2,186.83333333333334,55690,F,1
138,adj_Monitor17_ch14,185.0,82983,M,1
354,adj_Monitor20_ch29,180.83333333333334,57713,M,1
202,adj_Monitor18_ch15,180.83333333333334,80387,M,1
872,adj_Monitor5_ch8,174.66666666666666,80387,F,1
1296,adj_Monitor75_ch3,174.33333333333334,55690,M,1
134,adj_Monitor17_ch12,170.16666666666666,82983,M,1
340,adj_Monitor20_ch21,169.5,57713,M,1
936,adj_Monitor60_ch9,168.83333333333334,66945,M,1
30,adj_Monitor15_ch23,165.66666666666666,57380,M,1
464,adj_Monitor24_ch21,162.5,TRiPsc,M,1
902,adj_Monitor60_ch21,162.0,66945,M,1
26,adj_Monitor15_ch21,161.66666666666666,57380,M,1
278,adj_Monitor1_ch22,161.16666666666666,67422,M,1
288,adj_Monitor1_ch27,154.66666666666666,67422,M,1
494,adj_Monitor24_ch6,152.0,TRiPsc,M,1
360,adj_Monitor20_ch31,150.0,57713,M,1
146,adj_Monitor17_ch18,149.66666666666666,82983,M,1
1258,adj_Monitor75_ch10,149.33333333333334,55690,M,1
886,adj_Monitor60_ch14,147.83333333333334,66945,M,1
1352,adj_Monitor77_ch27,145.5,64498,F,1
274,adj_Monitor1_ch20,145.33333333333334,67422,M,1
262,adj_Monitor1_ch15,130.5,67422,M,1
2,adj_Monitor15_ch10,128.5,57380,M,1
470,adj_Monitor24_ch24,124.0,TRiPsc,M,1
260,adj_Monitor1_ch14,122.5,67422,M,1
268,adj_Monitor1_ch18,122.33333333333333,67422,M,1
448,adj_Monitor24_ch13,122.16666666666667,TRiPsc,M,1
310,adj_Monitor1_ch8,119.5,67422,M,1
128,adj_Monitor17_ch1,117.5,82983,M,1
284,adj_Monitor1_ch25,116.66666666666667,67422,M,1
922,adj_Monitor60_ch31,114.5,66945,M,1
930,adj_Monitor60_ch6,105.33333333333333,66945,M,1
6,adj_Monitor15_ch12,104.5,57380,M,1
460,adj_Monitor24_ch19,90.16666666666667,TRiPsc,M,1
842,adj_Monitor5_ch22,88.83333333333333,80387,F,1
266,adj_Monitor1_ch17,78.0,67422,M,1
264,adj_Monitor1_ch16,77.0,67422,M,1
454,adj_Monitor24_ch16,76.83333333333333,TRiPsc,M,1
824,adj_Monitor5_ch14,73.83333333333333,80387,F,1
